w_rad_s,f_hz,cable_len_equiv_m,bridge_A_unshaped_tf1.1,bridge_A_unshaped_tf1.6,bridge_A_unshaped_tf2.0,bridge_A_ZV_tf1.1,bridge_A_ZV_tf1.6,bridge_A_ZV_tf2.0,bridge_B_unshaped,bridge_B_ZV_0.91,bridge_B_ZVD_asrun_0.91,bridge_B_ZVD_textbook_0.91,bridge_B_EI5_0.91,tower_ZV_0.84,tower_ZVD_asrun,tower_ZVD_textbook,tower_2modeZV,shaperonly_ZV_0.91,shaperonly_ZVD_textbook_0.91,shaperonly_ZVD_asrun_0.91,shaperonly_ZV_0.84,shaperonly_2modeZV
12.858632,2.046515,0.05931,1.0,1.0,1.0,0.879112,0.879112,0.879112,1.0,0.907918,1.004655,0.824314,0.81553,0.635176,0.599466,0.499292,0.104404,0.907918,0.824314,0.803724,0.635176,0.104404
12.87156,2.048572,0.059191,1.0,1.0,1.0,0.88187,0.88187,0.88187,1.0,0.910367,1.010856,0.828768,0.820207,0.63936,0.606289,0.504716,0.106192,0.910367,0.828768,0.808685,0.63936,0.106192
12.884487,2.05063,0.059073,1.0,1.0,1.0,0.884597,0.884597,0.884597,1.0,0.912785,1.016996,0.833177,0.824836,0.643526,0.613129,0.510142,0.107991,0.912785,0.833177,0.813596,0.643526,0.107991
12.897415,2.052687,0.058954,1.0,1.0,1.0,0.887295,0.887295,0.887295,1.0,0.915172,1.023072,0.83754,0.829417,0.647672,0.619985,0.515568,0.109801,0.915172,0.83754,0.818458,0.647672,0.109801
12.910342,2.054745,0.058836,1.0,1.0,1.0,0.889963,0.889963,0.889963,1.0,0.917527,1.029084,0.841856,0.833949,0.651799,0.626856,0.520994,0.111622,0.917527,0.841856,0.823268,0.651799,0.111622
12.923269,2.056802,0.058719,1.0,1.0,1.0,0.892601,0.892601,0.892601,1.0,0.91985,1.035032,0.846125,0.838431,0.655907,0.633741,0.526419,0.113453,0.91985,0.846125,0.828026,0.655907,0.113453
12.936197,2.05886,0.058601,1.0,1.0,1.0,0.895209,0.895209,0.895209,1.0,0.922142,1.040914,0.850345,0.842863,0.659996,0.640637,0.531843,0.115294,0.922142,0.850345,0.832731,0.659996,0.115294
12.949124,2.060917,0.058484,1.0,1.0,1.0,0.897786,0.897786,0.897786,1.0,0.924401,1.046729,0.854517,0.847243,0.664065,0.647544,0.537264,0.117146,0.924401,0.854517,0.837383,0.664065,0.117146
12.962052,2.062975,0.058368,1.0,1.0,1.0,0.900333,0.900333,0.900333,1.0,0.926629,1.052477,0.858641,0.851573,0.668115,0.65446,0.542682,0.119008,0.926629,0.858641,0.841981,0.668115,0.119008
12.974979,2.065032,0.058252,1.0,1.0,1.0,0.90285,0.90285,0.90285,1.0,0.928824,1.058156,0.862714,0.85585,0.672145,0.661384,0.548096,0.12088,0.928824,0.862714,0.846525,0.672145,0.12088
12.987907,2.06709,0.058136,1.0,1.0,1.0,0.905335,0.905335,0.905335,1.0,0.930987,1.063767,0.866738,0.860074,0.676155,0.668314,0.553505,0.122762,0.930987,0.866738,0.851013,0.676155,0.122762
